Heading,Review
Its Amazing.!,"Its Amazing.!!!! Moving from OnePlus 3 to 5 the biggest difference was battery life ,OnePlus 5 offers almost twice the battery life compared to what the 3 offered.Always loved OnePlus still love it."
One of The Best,Its unbelievable product very nice product
Fan of Oneplus 5T,No One can beat One plus 5T in this price range.
Must Buy...,Phone - AwesomePerformance - AwesomeCamera - AwesomeDesign - AwesomeOVER ALL :- AWESOMENESS OVERLOADED
Awesome mobile!!,"Super awesome phone, what an awesome delivery time!!"
Worth it,The phone is nice but lately the camera is facing some software glitch and also the face recognition was very fast in the beginning now its a tad bit slower. Rest everything is fine.
Highly recommended phone One+5T,Amazing product from One+Using this phone for the past 20 days. Battery lasts for almost 24hours with high phone and WhatsApp usage. An excellent phone with great features in this price range. Highly recommended...
Five Stars,Amazing phone to use. Love the feel and the performance. Certainly worth the price.
5 star,A very good phone in this price range whith all the necessary features. Only negative point is that this phone doesnt have FM radio
Great phone,"Its been a few weeks, but to start with the great things, its fast as lightning, the camera is best in classOnly trouble Ive is with the data connection which keeps moving to high speed and I need to switch off and switch on my phone to change it to 4G, not sure how to fix that"
It gives you confidence that you are good in choice nowadays,"No need for any kind of extra accessories for OP 5T everything you want is packed inside the box arrived.About phone , worth for money spent. It gives you confidence that you are good in choice nowadays. Also one sipid information is that I got my product within 12 hrs from order placed. This is what Amazon."
"Dash charge great, Camera could be better under low light","Clean OS, speedy, Dash charge great,Camera could be better under low light. Overall great phone at this price."
Absolutely loved it.,Absolutely loved it... I was going to buy iPhone 7+ but changed my mind last moment.. n m happy to get it..Thank you Amazon.. bt I am little scared about the repair afterwards...but nevertheless m happy..
Excellent in time delivery,"I ordered mobile at 11am, and it was in my hand at 6pm, Excellent in time delivery, handset is very good and we loved it like anything, very handy, slim, and guard grip is so nice.. really its excellent mobile."
Bang for Buck,Delivery as expected on time with just 100 more bucksbest phone ever & amazing selfi camera apong with well personalised user experience but the battery life would have been extended on very heavy use
Excellent phone. But in such prize water resistant is ...,Excellent phone. But in such prize water resistant is not there. Ir remote also not available. Memory card slot also not available.front flash also not available.
The phone that wont disappoint you!,"Money well spent. Things you can do with OnePlus you cant with phones like xiaomi, vivo or oppo.Oneplus is unique as they get content or features on their own and not whats always featured on Android."
Grp product,Wonderful productAwesome camera better than s8Batterry life is awesomeOnly I m missing waterproofing
Best Smartphone in the market currently,"Best Smartphone in the market currently. The Camera is super, browsing super smooth, face unlock feature is amazing.I feel thankful that I switched from 6s to 1+. One of the best decisions of my life."
JUST THE BEST !!,You cant afford a better phone than this ! Close your eyes and go for it ?
Im totally satisfied! No complaints with this phone or the brand,Im totally satisfied! No complaints with this phone or the brand. The only disappointing thing is that this phone will be outdated just after 6 months from now as they will release oneplus 6.
One plus 5T is sensation.,Its a pride for me .. osm camera.  Overall the best thing I have done in 2017 is purchasing one plus 5T..The only disappointment is infinity desplay which I m expecting dis time .  Overall you deserve 5 star
Amazing phone very fast mind-blowing camera,I had iPhone 6s plus before but I was bored from iOS so I decided to buy this. This is the perfect Android phone out there.best camera best speed
Best in Class.,A very very perfect mobile phone.Running perfectly with all the features.Best camera and sound. No lags.And speedy delivery by amazon.I would suggest a GO GO for this product. (Y).
Its good. If I compare this with iPhone X or ...,Its good. If  I compare this with iPhone X or Samsung note 8 in terms of hardware spec this product is best for price Rs. 37000.
Mobile is very good but amazon is very bade but I am EMI ...,Mobile is very good but amazon is very bade  but I am EMI oppsen but amazon full payment received  buy very felling
Superb,Superb
Not let me down,"Been using it for over a month, no major issue. Wonderful face recognition feature and fast charging. At this price point, value for money."
Five Stars,"Fantastic phone, fast, great display and improved camera."
Worth more than money,"A wonderful and fabulous mobile phone, the camera quality is not upto the standard of flagship mobiles nowadays, but its more than worth than the money you give"
CHRISTMAS SPECIAL.,HAI I AM KIRAN FROM KOCHI.MY NEW ONEPLUS 5T 8gb RAM AND 128gb STORAGE PHONE IS A BEAST. THANKS ONEPLUS AND AMAZON FOR THIS MIND BLOWING PRODUCT. COULD RATE ONLY 5 STAR .I WISH I COULD RATE MOOOOOOORE.??? Go for it.
Best phone on price ag,Ideally the best phone I had used ever. Those who cannot afford an iPhone X can go for this. Best camera
Much Better than lakh rupee iphone...,"Loved it... Unexpected user experience... Camera.. Awesome... And that face unlock is so quick, great experience....Hats off to one plus...For making quality phone at reasonable price... Keep it up... Good Going..."
OnePlus 5T is Really amazing phone ever.,OnePlus 5T is one of the best phone ever.Its all features are amazing its performance is far better than any other brand phone in each and every aspects.Go for it friends....
Must Buy Phone,One of the best smartphones out there. Everything about this phone is awesome specially its camera. Face unlock and fingerprint sensor works incredibly fast. This is a must buy phone.
Best mobile,Working very smooth. Camera awesome. Full marks for everything. Battery should have been about 4000 mAh
Awesome!!!,Great phone. Super case. Thank you Amazon.
After use of one week two I felt are: ...,After use of one week two I felt are  : Hassle free operation and camera qualityTwo cons are : heating though slightly less than budget phones and sound quality is as of a China mobile. On comparing price i feel Sony Experia XA 1 which is also with me give more value satisfaction.
May the force be with you!,Brilliant Phone! The phone is beautifully assembled. Its super snappy. You cant go wrong with this one.
One plus 5T,"This is my First experience in buy mobile through online, without any disappointment I was able to buy the product soon and delivery was awesome it was right on time no damage in the box....One plus 5t is really awesome to use, fast and battery power r awesome camera feature 5 star, more over the mobile is just awesome."
Five Stars,Some dust particles on camera.
Amazing Phone.. Just love it,"Loved the phone, best phone with best configurations, only want the Kylo Ren case for one plus 5t which is available in star wars edition, took the phone much earlier to the star wars edition. Amazon or One Plus if you can please arrange for the Kylo Ren Case for me, I just love it"
Cool features with reasonable pricing,Awesome piece this is .With all the advanced features I think the price is quiet reasonable.Face recognition is dull at sometimes.On a whole I am happy to purchase this .
Simply superb,"Awesome. Delivered in a good conditionAmazon and one plus always perfectMust buy. Screen quality, features, speed everything superb. Have to use more to comment on battery life."
Awsome phone,Only one word...EXCELLENT
Awesome Phone!,"Best phone for a budget of 33k. Looks stylish. Camera is also good. Performance as always best from Oneplus. All in one, Complete package. Go for it..!!"
Its One plus  guys . One plus .,This is a giant beast . Go for it without any doubts . If I have 120k rs . I would buy 3 op5t instead of 1 iPhone X .Damn man . The phone is super awesome .
Special Edition,Comes in the best 2017 phones with full displayAwesome sandstone white gripNice cameraRAM is best featureGot plent of memory to fillAwesome phone in price
Top notch,Easily the best in the market. Great job - One plus. The phone scores very highly in terms of performance with a great camera. This is my 2nd phone from one plus and easily the best
Product is good but I have not received the discount of RS,Product is good but I have not received the discount of RS. 1500 payment made through HDFC credit card
Superb phone,Superb phone with good speed. Looks slim. Got a back cover with this which gives a more slim look.
Best Phone of 2017 !!,"Have always been a one plus fan. From OnePlus 2 to one plus 5T. What an experience.. never let me down. Awesome handset, worth the money All the way."
Love it !!,The processing speed is amazing!! Sound also is on highest quality. I would have liked to get another color than black. But overall experience is superb.
In love,"So much better than oneplus 5. Huge and beautiful screen with no buttons, fluid usage experience, good camera, great build quality. What else would you expect at this price?"
THE Beast,Loving One Plus 5T...The beast is back in market..
"Simply Awesome, Superfast","Simply Awesome, Superfast, Fluid OS & now in RED. ?Got it on Republic Day, its more than what you see. Camera is better in low light. Amoled is Superb. Just WOW ?"
Best phone,"Best phone available below Rs. 40000/- Overall performance is excellent. If you want to buy a world class phone below Rs. 40000, go ahead and buy this phone without any hesitation."
"Super fast, Amazing Camera","Super fast, Amazing Camera, Sleek and the Battery really lasts long. You can call it Beast of a phone. One minus point is that you dont get ear phones in the box."
Beat at cheap.,One of the the best phones to purchase in this price bracket ... Honor view 10 is definitely a strong competition but the one plus fans will go for this.
Amazing experience with this phone,Very nice phone great screen colour n very fast processor n lighter thinner n impressive then any other phone
Best Phone Ever,The phone is just amazing.Amazing unboxing experience.Photos are woah amazing.One plus never lets you down.
Delivery part awful,We had to call the agent several times. The agent for delivery did not come to my residence saying his vehicle had broken down and we had to go 4 kms to pick up our stuff.  But he left before we drove away  so his vehicle was fine.
Amazing experience,"Amazing experience, nice phone, must buy."
Facing ring tone and phone hang issue after the latest ...,"Facing ring tone and phone hang issue after the latest update.ringtone is selected but sound is not working.incoming calls are silent. So, i want to return this product."
One plus sets another benchmark,OnePlus is always ready to set benchmarksIts a value for moneyClass apartClear feel of exclusivety ????
Five Stars,Wow amazingly fast and perfect phone..Bang for buck
Excellent phone. Ive been using it for about a ...,Excellent phone. Ive been using it for about a month now and have no complaints. The camera is nothing to brag about - so you might not enjoy it if youre into photography.
Brilliant phone.,"Brilliant phone with blazing fast speed, top-notch display, face recognition work awesome ..even tried in low light..indeed excellent quality."
Great Deal!,I owned a oneplus 3 before this. Oneplus 5t is much more advanced and a very good purchase. The exchange offer gave me a very good deal and I bought the phone at only 25k!
... premium phone its just plain but the phone is good charges quickly but camera is little than i,the unboxing is not what you expect for a premium phone its just plain but the phone is good charges quickly but camera is little than i expected
Bestest Android phone ever.,Amazing phone . Bestest phone ever. A transpernt plastic back cover also come free with it. And a screen guard also come free.
"Product and quick quality delivery made my day, Love Amazon!!!",The product is quite perfect and appreciable.The product delivery was within 24 hours which impress me a lot.Amazon roks always. Love it!!!
Overall satisfied.,"Worth the price. Best features are processor speed and camera. Also, design ia premium alongside amazing build quality. Also, dash charger is another boon. Really helps saving time while we need to charge phones battery before leaving to work."
Me and My OnePlus5T :),Very Good phone for a good price.Superb camera.Vast Internal memory.No External memory slot.Excellent Delivery commitment.Wonderful Experience
Best phone below 50k,Amazing phone for the cost you pay. Definitely a flagship killer.. The camera is good if not the best. Interface is amazingly smooth and fast. Definitely go for it.!
super smooth device,"Using this one plus 5t beast from more than one month and now I want to share my experience with u guys, the fastest phone Ive ever used and yes dash charger is the fastest charger on earth, no lagging at all, super smooth device, fabulous camera, good job one plus."
So far 5T is good except hd video recording,Ordered at 5pm on 21st Nov and delivered on next day morning by 8am. So far 5T is good except hd video recording. Need to explore bit more to change my rating from 4 to 5
Superb mobile but battery drain fast.....,Very cool and superb mobile phone but 30k range mobiles on 5t give recommend battery backup so battery drain fast so solve this prob and otherwise great mobile.....
Loving it.....,Awesome touch....performance is good even if we open 15 background apps....camera is worth the price....
Five Stars,Nice mobile
This phone is smart investment,Excellent performance and dazzling experience..This phone is a smart investment.No doubt this is the best phone of 2017.
"Hi One plus 5t is amazing, the overall experience while using this phone the ...","HiOne plus 5t is amazing,the overall experience while using this phone the only problem I faced while using from last 20 days is the mobile gets hang for two times also the mobile screen touch becomes slow for that I have to switch off the mobile,what can I do for this?"
Superrrr Speed,Super fast in terms of speed and charging..do not heat up even when playing high end games for an hour..In short it is CLARK KENT among smart phone phones. ;)
Most Powerful Flagship phone,My God its just just unbelievable Excellent Flagship phone within 30k - 40k range camera is excellent processor is SD 835 which is of the most powerful processor
Great device for all needs: This ones an all rounder,This phone has everything you can ask of from a mobile device. I have literally zero complaints from the phone. A great bang for your buck. Just get this device!
Superb Phone,No lagging. Good Battery backup for normal usage. Excellent photo quality. Timely updates. Fast charging. Accessories bit costly.Suggestions: screen should have been end to end like MI Max 2
Five Stars,Works like a dream. Charging is super quick and face recognition deserves special applause. Its insanely quick.
Excellent phone,An excellent phone with premium features. I will add a more detailed review after more usage. Presently I would fully recommend this phone.
Five Stars,Excellent product! Smooth lag free experience.
Real value for the money,"ProsSuper fast performance, dash charging is really fastConsCamera can be better in low lightIts been more than a week since I brought this."
Awesome Amazon Flagship Mobile!,"Fantastic packing, first look & ease of setting up. Received it today. Looks & feels awesome in all respects. Will review after some time. ??"
Value for money,"Simply superb, good build quality. Butter smooth oxygen OS and got Oreo update as well. Camera results are also awesome, display quality is so crispy and colours are so punchy. It handles everything very well, overall happy with the purchase"
Five Stars,"I personally think that no review is required for this product, go buy while it is available .."
Flagship killer,The only cons is its fingerprint scanner at back which can be ignored because of super fast face unlock feature
Awesome phone!,Awesome phone !!Happy to bought this phone and also enjoying its features..Except one thing the camera is awesome but low light camera is good not best..
Excellent camera of  One plus 5T,Really too much nice mobile . Camera result is excellent . If you will buy this mobike One plus 5T you will no need buy  camera . This mobile camera is excellent .
Super Smartphone. Absolutely no bug,Super Smartphone. Absolutely no bug. Super audio performance. Super network connectivity! Super fast charging. Unfortunately it has no infrared.
Oh God yesterday I got one plus 5T its amazing phone I seend ever super fast and camera pakka ...,Oh God yesterday I got one plus 5T its amazing phone I seend ever super fast and camera pakka clariy - fast delivery thanks Amazon and thanks God giving me this
"Good product, timely delivery Processed is fast","Good product , timely deliveryProcessed is fast , battery lasts longer in this phone , camera quality is bestOver all a very good phone in this range ..Just wished it had 128GB memory"
Worth it!,One of the best android phone with amazing camera and good speed. Fingerprint and face look works pretty good.Definitely the best android phone to buy right now!
... using it for almost a month i would definitely recommend this mobile,After using it for almost a month i would definitely recommend this mobile. Look feel performance sound display every thing is considered pretty well while designing this
